experiment,description,seed,max_tokens,ngrams,normalize_tfidf,hidden_units,parameters,optimizer,learning_rate,momentum,batch_size,epochs_requested,epochs_ran,dropout,l2,train_limit,early_stopping_monitor,val_loss_best,best_threshold,val_f1_tuned,val_accuracy,val_precision,val_recall,val_f1
gen_es_valloss,Early stopping sobre val_loss: frena cuando empeora calibracion.,7,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.0,0.0,all,val_loss,0.5018102526664734,0.383780300617218,0.7721943048576214,0.7598499061913696,0.7699805068226121,0.7410881801125704,0.7552581261950286
gen_es_valloss,Early stopping sobre val_loss: frena cuando empeora calibracion.,42,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.0,0.0,all,val_loss,0.5008191466331482,0.4193628430366516,0.7750631844987362,0.7551594746716698,0.7411347517730497,0.7842401500938087,0.7620783956244302
gen_es_valloss,Early stopping sobre val_loss: frena cuando empeora calibracion.,126,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.0,0.0,all,val_loss,0.5023593306541443,0.3506018221378326,0.7726894254787677,0.7560975609756098,0.7861635220125787,0.7035647279549718,0.7425742574257426
gen2_dropout02_valloss,Dropout 0.2 + early stopping val_loss.,7,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,11,0.2,0.0,all,val_loss,0.5021224617958069,0.37315770983695984,0.7741393786733837,0.7598499061913696,0.7731755424063116,0.7354596622889306,0.7538461538461538
gen2_dropout02_valloss,Dropout 0.2 + early stopping val_loss.,42,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,11,0.2,0.0,all,val_loss,0.5000455379486084,0.3893345594406128,0.7742474916387959,0.7617260787992496,0.7559633027522936,0.7729831144465291,0.764378478664193
gen2_dropout02_valloss,Dropout 0.2 + early stopping val_loss.,126,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,11,0.2,0.0,all,val_loss,0.5023658871650696,0.33584532141685486,0.7740345110928513,0.7532833020637899,0.774390243902439,0.7148217636022514,0.7434146341463415
gen2_dropout01_valloss,Dropout 0.1 + early stopping val_loss.,7,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.1,0.0,all,val_loss,0.5013357996940613,0.3684922456741333,0.7737704918032786,0.7654784240150094,0.7736943907156673,0.7504690431519699,0.7619047619047619
gen2_dropout01_valloss,Dropout 0.1 + early stopping val_loss.,42,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.1,0.0,all,val_loss,0.5013306736946106,0.4100610315799713,0.7784232365145227,0.7579737335834896,0.7450980392156863,0.7842401500938087,0.7641681901279708
gen2_dropout01_valloss,Dropout 0.1 + early stopping val_loss.,126,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.1,0.0,all,val_loss,0.5014421939849854,0.3549228012561798,0.7730263157894737,0.7514071294559099,0.7757201646090535,0.7073170731707317,0.7399411187438666
gen2_dropout03_valloss,Dropout 0.3 + early stopping val_loss.,7,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,11,0.3,0.0,all,val_loss,0.5006148815155029,0.3761823773384094,0.7739783152627189,0.7579737335834896,0.7680311890838206,0.7392120075046904,0.7533460803059273
gen2_dropout03_valloss,Dropout 0.3 + early stopping val_loss.,42,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,11,0.3,0.0,all,val_loss,0.49854913353919983,0.3962591290473938,0.7778709136630343,0.7570356472795498,0.7555970149253731,0.7598499061913696,0.7577174929840973
gen2_dropout03_valloss,Dropout 0.3 + early stopping val_loss.,126,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,11,0.3,0.0,all,val_loss,0.5016516447067261,0.35324451327323914,0.7760199833472107,0.7523452157598499,0.7750511247443763,0.7110694183864915,0.7416829745596869
gen2_unigrams_dropout02,Unigramas + dropout 0.2.,7,10000,1,True,"(32,)",320065,adam,0.001,0.0,32,12,8,0.2,0.0,all,val_f1,0.48740094900131226,0.4087165594100952,0.7726864330637917,0.7664165103189493,0.7921810699588477,0.7223264540337712,0.7556427870461236
gen2_unigrams_dropout02,Unigramas + dropout 0.2.,42,10000,1,True,"(32,)",320065,adam,0.001,0.0,32,12,8,0.2,0.0,all,val_f1,0.48565569519996643,0.4134491980075836,0.7783687943262412,0.7645403377110694,0.7797619047619048,0.7373358348968105,0.7579556412729026
gen2_unigrams_dropout02,Unigramas + dropout 0.2.,126,10000,1,True,"(32,)",320065,adam,0.001,0.0,32,12,11,0.2,0.0,all,val_f1,0.48711293935775757,0.4179510176181793,0.7651858567543064,0.7598499061913696,0.7721021611001965,0.7373358348968105,0.7543186180422264
gen2_unigrams_valloss,Unigramas + early stopping val_loss.,7,10000,1,True,"(32,)",320065,adam,0.001,0.0,32,12,8,0.0,0.0,all,val_loss,0.4888686537742615,0.4255419671535492,0.7726027397260273,0.7636022514071295,0.7896907216494845,0.7185741088180112,0.7524557956777996
gen2_unigrams_valloss,Unigramas + early stopping val_loss.,42,10000,1,True,"(32,)",320065,adam,0.001,0.0,32,12,8,0.0,0.0,all,val_loss,0.4875063896179199,0.3963654935359955,0.7746478873239437,0.7626641651031895,0.7777777777777778,0.7354596622889306,0.7560270009643202
gen2_unigrams_valloss,Unigramas + early stopping val_loss.,126,10000,1,True,"(32,)",320065,adam,0.001,0.0,32,12,8,0.0,0.0,all,val_loss,0.4889369010925293,0.40133973956108093,0.7774798927613942,0.7645403377110694,0.7913223140495868,0.7185741088180112,0.7531956735496559
gen2_l2_1e4,L2=0.0001: regularizacion suave.,7,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,12,0.0,0.0001,all,val_f1,0.6006529927253723,0.3892989158630371,0.7677419354838709,0.7551594746716698,0.7566037735849057,0.7523452157598499,0.7544684854186265
gen2_l2_1e4,L2=0.0001: regularizacion suave.,42,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,12,0.0,0.0001,all,val_f1,0.5971485376358032,0.41210389137268066,0.7692307692307692,0.7560975609756098,0.7365684575389948,0.797373358348968,0.7657657657657657
gen2_l2_1e4,L2=0.0001: regularizacion suave.,126,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,12,0.0,0.0001,all,val_f1,0.6008490920066833,0.3264032006263733,0.7698476343223738,0.7476547842401501,0.7761506276150628,0.6960600375234521,0.7339268051434223
gen2_l2_1e5,L2=0.00001: regularizacion muy suave.,7,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.0,1e-05,all,val_f1,0.5284808278083801,0.4457685649394989,0.7720848056537102,0.7598499061913696,0.7710371819960861,0.7392120075046904,0.7547892720306514
gen2_l2_1e5,L2=0.00001: regularizacion muy suave.,42,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,9,0.0,1e-05,all,val_f1,0.5261702537536621,0.45491111278533936,0.7718696397941681,0.7626641651031895,0.7491103202846975,0.7898686679174484,0.7689497716894977
gen2_l2_1e5,L2=0.00001: regularizacion muy suave.,126,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.0,1e-05,all,val_f1,0.5289995670318604,0.4288374185562134,0.7732142857142856,0.7542213883677298,0.7840670859538784,0.701688555347092,0.7405940594059406
gen2_dropout02_l2_1e4,Dropout 0.2 + L2=0.0001.,7,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,12,0.2,0.0001,all,val_f1,0.5988094210624695,0.4137980341911316,0.7703583061889251,0.7551594746716698,0.7566037735849057,0.7523452157598499,0.7544684854186265
gen2_dropout02_l2_1e4,Dropout 0.2 + L2=0.0001.,42,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,12,0.2,0.0001,all,val_f1,0.5974900722503662,0.3988281786441803,0.7766212970376302,0.7495309568480301,0.7285223367697594,0.7954971857410882,0.7605381165919283
gen2_dropout02_l2_1e4,Dropout 0.2 + L2=0.0001.,126,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,12,0.2,0.0001,all,val_f1,0.5973801016807556,0.35425397753715515,0.7656870532168387,0.7467166979362101,0.7573385518590998,0.726078799249531,0.7413793103448276
gen2_dropout02_l2_1e5,Dropout 0.2 + L2=0.00001.,7,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.2,1e-05,all,val_f1,0.5281062722206116,0.4534459114074707,0.7759856630824373,0.7617260787992496,0.7751479289940828,0.7373358348968105,0.7557692307692307
gen2_dropout02_l2_1e5,Dropout 0.2 + L2=0.00001.,42,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.2,1e-05,all,val_f1,0.5253875255584717,0.4371671974658966,0.7770154373927959,0.7626641651031895,0.7583025830258303,0.7711069418386491,0.7646511627906977
gen2_dropout02_l2_1e5,Dropout 0.2 + L2=0.00001.,126,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,12,0.2,1e-05,all,val_f1,0.5262744426727295,0.3109862506389618,0.7693574958813838,0.7523452157598499,0.7621832358674464,0.7335834896810507,0.7476099426386233
gen2_dropout02_valloss_lr0005,Dropout 0.2 + early stopping val_loss + Adam lr=0.0005.,7,10000,2,True,"(32,)",320065,adam,0.0005,0.0,32,12,12,0.2,0.0,all,val_loss,0.500596821308136,0.3518049120903015,0.7748344370860928,0.7560975609756098,0.7802874743326489,0.7129455909943715,0.7450980392156863
gen2_dropout02_valloss_lr0005,Dropout 0.2 + early stopping val_loss + Adam lr=0.0005.,42,10000,2,True,"(32,)",320065,adam,0.0005,0.0,32,12,12,0.2,0.0,all,val_loss,0.5007233619689941,0.3517669439315796,0.7736625514403292,0.7560975609756098,0.7713717693836978,0.7279549718574109,0.749034749034749
gen2_dropout02_valloss_lr0005,Dropout 0.2 + early stopping val_loss + Adam lr=0.0005.,126,10000,2,True,"(32,)",320065,adam,0.0005,0.0,32,12,12,0.2,0.0,all,val_loss,0.5012105107307434,0.37619104981422424,0.7741935483870966,0.7551594746716698,0.7635658914728682,0.7392120075046904,0.7511916110581506
