experiment,description,seed,max_tokens,ngrams,normalize_tfidf,hidden_units,parameters,learning_rate,batch_size,epochs_requested,epochs_ran,dropout,l2,train_limit,best_threshold,val_f1_tuned,val_accuracy,val_precision,val_recall,val_f1,optimizer,momentum
e3_dropout_32,Red chica con dropout moderado.,420,5000,1,False,"(32,)",160065,0.001,32,12,10,0.2,0.0,all,0.2628298103809356,0.7752332485156912,0.7570356472795498,0.7411971830985915,0.7898686679174484,0.7647593097184378,adam,0.0
e4_l2_32,Red chica con regularizacion L2.,7,5000,1,False,"(32,)",160065,0.001,32,12,7,0.0,0.0001,all,0.3412259519100189,0.7675021607605877,0.7551594746716698,0.7546816479400749,0.7560975609756098,0.7553889409559512,adam,0.0
e4_l2_32,Red chica con regularizacion L2.,21,5000,1,False,"(32,)",160065,0.001,32,12,11,0.0,0.0001,all,0.3736574351787567,0.7610921501706484,0.7420262664165104,0.7142857142857143,0.8067542213883677,0.7577092511013216,adam,0.0
e4_l2_32,Red chica con regularizacion L2.,42,5000,1,False,"(32,)",160065,0.001,32,12,7,0.0,0.0001,all,0.3354277312755584,0.7628524046434494,0.7439024390243902,0.7338129496402878,0.7654784240150094,0.7493112947658402,adam,0.0
e4_l2_32,Red chica con regularizacion L2.,84,5000,1,False,"(32,)",160065,0.001,32,12,11,0.0,0.0001,all,0.4911409318447113,0.7662222222222221,0.7514071294559099,0.7278911564625851,0.8030018761726079,0.7636039250669046,adam,0.0
e4_l2_32,Red chica con regularizacion L2.,126,5000,1,False,"(32,)",160065,0.001,32,12,6,0.0,0.0001,all,0.3313632011413574,0.7691043549712407,0.7467166979362101,0.7583497053045186,0.724202626641651,0.7408829174664108,adam,0.0
e4_l2_32,Red chica con regularizacion L2.,168,5000,1,False,"(32,)",160065,0.001,32,12,7,0.0,0.0001,all,0.4849596321582794,0.7649769585253456,0.7589118198874296,0.7536764705882353,0.7692307692307693,0.7613741875580315,adam,0.0
e4_l2_32,Red chica con regularizacion L2.,210,5000,1,False,"(32,)",160065,0.001,32,12,8,0.0,0.0001,all,0.3905413150787353,0.7704347826086957,0.7570356472795498,0.7403508771929824,0.7917448405253283,0.7651858567543064,adam,0.0
e4_l2_32,Red chica con regularizacion L2.,252,5000,1,False,"(32,)",160065,0.001,32,12,12,0.0,0.0001,all,0.1015855371952056,0.7643097643097643,0.7476547842401501,0.7453531598513011,0.7523452157598499,0.7488328664799253,adam,0.0
e4_l2_32,Red chica con regularizacion L2.,314,5000,1,False,"(32,)",160065,0.001,32,12,12,0.0,0.0001,all,0.4515440464019775,0.7568042142230026,0.7420262664165104,0.7193877551020408,0.7936210131332082,0.7546833184656556,adam,0.0
e4_l2_32,Red chica con regularizacion L2.,420,5000,1,False,"(32,)",160065,0.001,32,12,12,0.0,0.0001,all,0.4294061362743377,0.7651888341543515,0.7307692307692307,0.6835820895522388,0.8592870544090057,0.7614297589359933,adam,0.0
e5_dropout_128,Red amplia con dropout moderado.,7,5000,1,False,"(128,)",640257,0.001,32,12,11,0.2,0.0,all,0.0945991650223732,0.7661357921207042,0.7589118198874296,0.7527472527472527,0.7711069418386491,0.7618164967562558,adam,0.0
e5_dropout_128,Red amplia con dropout moderado.,21,5000,1,False,"(128,)",640257,0.001,32,12,8,0.2,0.0,all,0.4137337207794189,0.7645478961504029,0.7523452157598499,0.7467889908256881,0.7636022514071295,0.7551020408163265,adam,0.0
e5_dropout_128,Red amplia con dropout moderado.,42,5000,1,False,"(128,)",640257,0.001,32,12,12,0.2,0.0,all,0.3150816857814789,0.7674418604651163,0.7570356472795498,0.7565543071161048,0.7579737335834896,0.7572633552014996,adam,0.0
e5_dropout_128,Red amplia con dropout moderado.,84,5000,1,False,"(128,)",640257,0.001,32,12,9,0.2,0.0,all,0.5051684379577637,0.7678244972577697,0.7589118198874296,0.7446808510638298,0.7879924953095685,0.7657247037374658,adam,0.0
e5_dropout_128,Red amplia con dropout moderado.,126,5000,1,False,"(128,)",640257,0.001,32,12,12,0.2,0.0,all,0.1394582688808441,0.765017667844523,0.7532833020637899,0.7606177606177607,0.7392120075046904,0.7497621313035204,adam,0.0
e5_dropout_128,Red amplia con dropout moderado.,168,5000,1,False,"(128,)",640257,0.001,32,12,7,0.2,0.0,all,0.3136315643787384,0.7750631844987362,0.7542213883677298,0.7459165154264973,0.7711069418386491,0.7583025830258303,adam,0.0
e5_dropout_128,Red amplia con dropout moderado.,210,5000,1,False,"(128,)",640257,0.001,32,12,8,0.2,0.0,all,0.3657951354980469,0.7666955767562881,0.7523452157598499,0.7380530973451327,0.7823639774859287,0.7595628415300546,adam,0.0
e5_dropout_128,Red amplia con dropout moderado.,252,5000,1,False,"(128,)",640257,0.001,32,12,6,0.2,0.0,all,0.362359344959259,0.7724252491694353,0.7551594746716698,0.7527881040892194,0.7598499061913696,0.7563025210084033,adam,0.0
e5_dropout_128,Red amplia con dropout moderado.,314,5000,1,False,"(128,)",640257,0.001,32,12,9,0.2,0.0,all,0.5426727533340454,0.7743634767339772,0.7523452157598499,0.71658615136876,0.8348968105065666,0.7712305025996534,adam,0.0
e5_dropout_128,Red amplia con dropout moderado.,420,5000,1,False,"(128,)",640257,0.001,32,12,10,0.2,0.0,all,0.3334847092628479,0.7777777777777778,0.7579737335834896,0.733446519524618,0.8105065666041276,0.7700534759358288,adam,0.0
e6_l2_128,Red amplia con regularizacion L2.,7,5000,1,False,"(128,)",640257,0.001,32,12,7,0.0,0.0001,all,0.4104155600070953,0.7644991212653778,0.7532833020637899,0.7472527472527473,0.7654784240150094,0.7562557924003707,adam,0.0
e6_l2_128,Red amplia con regularizacion L2.,21,5000,1,False,"(128,)",640257,0.001,32,12,11,0.0,0.0001,all,0.5714432597160339,0.7732406602953954,0.7476547842401501,0.7088607594936709,0.8405253283302064,0.769098712446352,adam,0.0
e6_l2_128,Red amplia con regularizacion L2.,42,5000,1,False,"(128,)",640257,0.001,32,12,7,0.0,0.0001,all,0.2845733761787414,0.7624584717607973,0.7439024390243902,0.7398523985239852,0.7523452157598499,0.746046511627907,adam,0.0
e6_l2_128,Red amplia con regularizacion L2.,84,5000,1,False,"(128,)",640257,0.001,32,12,11,0.0,0.0001,all,0.4671230018138885,0.7728873239436619,0.7542213883677298,0.7277310924369748,0.8123827392120075,0.7677304964539007,adam,0.0
e6_l2_128,Red amplia con regularizacion L2.,126,5000,1,False,"(128,)",640257,0.001,32,12,12,0.0,0.0001,all,0.2824821174144745,0.7579672695951765,0.7429643527204502,0.7252173913043478,0.7823639774859287,0.7527075812274369,adam,0.0
e6_l2_128,Red amplia con regularizacion L2.,168,5000,1,False,"(128,)",640257,0.001,32,12,6,0.0,0.0001,all,0.4435380399227142,0.7622377622377622,0.7495309568480301,0.7392086330935251,0.7711069418386491,0.7548209366391184,adam,0.0
e6_l2_128,Red amplia con regularizacion L2.,210,5000,1,False,"(128,)",640257,0.001,32,12,8,0.0,0.0001,all,0.2503279745578766,0.7661691542288557,0.7467166979362101,0.7225042301184433,0.801125703564728,0.7597864768683275,adam,0.0
e6_l2_128,Red amplia con regularizacion L2.,252,5000,1,False,"(128,)",640257,0.001,32,12,11,0.0,0.0001,all,0.2774901688098907,0.7698744769874476,0.7420262664165104,0.7114754098360656,0.8142589118198874,0.7594050743657043,adam,0.0
e6_l2_128,Red amplia con regularizacion L2.,314,5000,1,False,"(128,)",640257,0.001,32,12,11,0.0,0.0001,all,0.2906941771507263,0.7635135135135136,0.7448405253283302,0.7223168654173765,0.7954971857410882,0.7571428571428571,adam,0.0
e6_l2_128,Red amplia con regularizacion L2.,420,5000,1,False,"(128,)",640257,0.001,32,12,11,0.0,0.0001,all,0.3758919537067413,0.7649122807017544,0.7485928705440901,0.7304347826086957,0.7879924953095685,0.7581227436823105,adam,0.0
e7_combined_128,Configuracion amplia con dropout y L2 del estudio anterior.,7,5000,1,False,"(128,)",640257,0.001,32,12,9,0.5,0.0001,all,0.4753036797046661,0.7699275362318841,0.7579737335834896,0.7477477477477478,0.7786116322701688,0.7628676470588235,adam,0.0
e7_combined_128,Configuracion amplia con dropout y L2 del estudio anterior.,21,5000,1,False,"(128,)",640257,0.001,32,12,8,0.5,0.0001,all,0.4097967445850372,0.7775800711743772,0.7673545966228893,0.7624309392265194,0.776735459662289,0.7695167286245354,adam,0.0
e7_combined_128,Configuracion amplia con dropout y L2 del estudio anterior.,42,5000,1,False,"(128,)",640257,0.001,32,12,7,0.5,0.0001,all,0.4938691258430481,0.7682363804247461,0.7626641651031895,0.7564102564102564,0.774859287054409,0.7655236329935126,adam,0.0
e7_combined_128,Configuracion amplia con dropout y L2 del estudio anterior.,84,5000,1,False,"(128,)",640257,0.001,32,12,11,0.5,0.0001,all,0.1874648630619049,0.7688483844241922,0.7551594746716698,0.7419928825622776,0.7823639774859287,0.7616438356164383,adam,0.0
e7_combined_128,Configuracion amplia con dropout y L2 del estudio anterior.,126,5000,1,False,"(128,)",640257,0.001,32,12,6,0.5,0.0001,all,0.3911283612251282,0.7557117750439366,0.7598499061913696,0.790356394129979,0.7073170731707317,0.7465346534653465,adam,0.0
e7_combined_128,Configuracion amplia con dropout y L2 del estudio anterior.,168,5000,1,False,"(128,)",640257,0.001,32,12,6,0.5,0.0001,all,0.4464562833309173,0.7709593777009508,0.7495309568480301,0.7366548042704626,0.776735459662289,0.7561643835616438,adam,0.0
e7_combined_128,Configuracion amplia con dropout y L2 del estudio anterior.,210,5000,1,False,"(128,)",640257,0.001,32,12,9,0.5,0.0001,all,0.3868739902973175,0.7701754385964912,0.7570356472795498,0.7446428571428572,0.7823639774859287,0.7630375114364135,adam,0.0
e7_combined_128,Configuracion amplia con dropout y L2 del estudio anterior.,252,5000,1,False,"(128,)",640257,0.001,32,12,12,0.5,0.0001,all,0.2048217803239822,0.7666385846672282,0.7467166979362101,0.736936936936937,0.7673545966228893,0.7518382352941176,adam,0.0
e7_combined_128,Configuracion amplia con dropout y L2 del estudio anterior.,314,5000,1,False,"(128,)",640257,0.001,32,12,12,0.5,0.0001,all,0.2911882102489471,0.7650551314673452,0.7457786116322702,0.7220338983050848,0.799249530956848,0.7586821015138023,adam,0.0
e7_combined_128,Configuracion amplia con dropout y L2 del estudio anterior.,420,5000,1,False,"(128,)",640257,0.001,32,12,12,0.5,0.0001,all,0.3748757541179657,0.772207563764292,0.7570356472795498,0.7437722419928826,0.7842401500938087,0.7634703196347032,adam,0.0
e8_linear_bigrams,"Baseline lineal con unigramas, bigramas y normalizacion L2.",7,10000,2,True,(),10001,0.001,32,12,11,0.0,0.0,all,0.4929934740066528,0.7604251839738349,0.7467166979362101,0.751434034416826,0.7373358348968105,0.7443181818181818,adam,0.0
e8_linear_bigrams,"Baseline lineal con unigramas, bigramas y normalizacion L2.",21,10000,2,True,(),10001,0.001,32,12,12,0.0,0.0,all,0.4937198460102081,0.761986301369863,0.7514071294559099,0.7596899224806202,0.7354596622889306,0.7473784556720686,adam,0.0
e8_linear_bigrams,"Baseline lineal con unigramas, bigramas y normalizacion L2.",42,10000,2,True,(),10001,0.001,32,12,12,0.0,0.0,all,0.4912856817245483,0.7601957585644372,0.7504690431519699,0.7572254335260116,0.7373358348968105,0.747148288973384,adam,0.0
e8_linear_bigrams,"Baseline lineal con unigramas, bigramas y normalizacion L2.",84,10000,2,True,(),10001,0.001,32,12,12,0.0,0.0,all,0.4807853400707245,0.761904761904762,0.7363977485928705,0.7614107883817427,0.6885553470919324,0.723152709359606,adam,0.0
e8_linear_bigrams,"Baseline lineal con unigramas, bigramas y normalizacion L2.",126,10000,2,True,(),10001,0.001,32,12,8,0.0,0.0,all,0.499720811843872,0.7630252100840337,0.7363977485928705,0.6956521739130435,0.8405253283302064,0.7612574341546304,adam,0.0
e8_linear_bigrams,"Baseline lineal con unigramas, bigramas y normalizacion L2.",168,10000,2,True,(),10001,0.001,32,12,12,0.0,0.0,all,0.4806293547153473,0.7633087633087633,0.7279549718574109,0.7694013303769401,0.651031894934334,0.7052845528455285,adam,0.0
e8_linear_bigrams,"Baseline lineal con unigramas, bigramas y normalizacion L2.",210,10000,2,True,(),10001,0.001,32,12,12,0.0,0.0,all,0.4849853217601776,0.7636363636363637,0.7363977485928705,0.7592592592592593,0.6923076923076923,0.7242394504416094,adam,0.0
e8_linear_bigrams,"Baseline lineal con unigramas, bigramas y normalizacion L2.",252,10000,2,True,(),10001,0.001,32,12,12,0.0,0.0,all,0.483831912279129,0.7612797374897458,0.7363977485928705,0.7614107883817427,0.6885553470919324,0.723152709359606,adam,0.0
e8_linear_bigrams,"Baseline lineal con unigramas, bigramas y normalizacion L2.",314,10000,2,True,(),10001,0.001,32,12,12,0.0,0.0,all,0.4863107800483703,0.7587354409317805,0.7326454033771107,0.7583333333333333,0.6829268292682927,0.7186574531095755,adam,0.0
e8_linear_bigrams,"Baseline lineal con unigramas, bigramas y normalizacion L2.",420,10000,2,True,(),10001,0.001,32,12,12,0.0,0.0,all,0.4877767562866211,0.7585089141004862,0.7410881801125704,0.7554671968190855,0.7129455909943715,0.7335907335907336,adam,0.0
e9_mlp32_bigrams,"MLP chica con unigramas, bigramas y normalizacion L2.",7,10000,2,True,"(32,)",320065,0.001,32,12,10,0.0,0.0,all,0.383780300617218,0.7721943048576214,0.7598499061913696,0.7699805068226121,0.7410881801125704,0.7552581261950286,adam,0.0
e9_mlp32_bigrams,"MLP chica con unigramas, bigramas y normalizacion L2.",21,10000,2,True,"(32,)",320065,0.001,32,12,12,0.0,0.0,all,0.3247973024845123,0.7690987124463521,0.7523452157598499,0.7784679089026915,0.7054409005628518,0.7401574803149606,adam,0.0
e9_mlp32_bigrams,"MLP chica con unigramas, bigramas y normalizacion L2.",42,10000,2,True,"(32,)",320065,0.001,32,12,8,0.0,0.0,all,0.485125869512558,0.7732142857142856,0.7626641651031895,0.7491103202846975,0.7898686679174484,0.7689497716894977,adam,0.0
e9_mlp32_bigrams,"MLP chica con unigramas, bigramas y normalizacion L2.",84,10000,2,True,"(32,)",320065,0.001,32,12,6,0.0,0.0,all,0.4909893572330475,0.7653910149750416,0.7448405253283302,0.7412199630314233,0.7523452157598499,0.7467411545623837,adam,0.0
e9_mlp32_bigrams,"MLP chica con unigramas, bigramas y normalizacion L2.",126,10000,2,True,"(32,)",320065,0.001,32,12,11,0.0,0.0,all,0.3193783462047577,0.7691029900332225,0.7570356472795498,0.7854166666666667,0.7073170731707317,0.7443237907206318,adam,0.0
e9_mlp32_bigrams,"MLP chica con unigramas, bigramas y normalizacion L2.",168,10000,2,True,"(32,)",320065,0.001,32,12,8,0.0,0.0,all,0.4689058661460876,0.7720524017467248,0.7570356472795498,0.7527675276752768,0.7654784240150094,0.7590697674418605,adam,0.0
e9_mlp32_bigrams,"MLP chica con unigramas, bigramas y normalizacion L2.",210,10000,2,True,"(32,)",320065,0.001,32,12,8,0.0,0.0,all,0.495033860206604,0.7762803234501348,0.7617260787992496,0.7451669595782073,0.7954971857410882,0.7695099818511797,adam,0.0
e9_mlp32_bigrams,"MLP chica con unigramas, bigramas y normalizacion L2.",252,10000,2,True,"(32,)",320065,0.001,32,12,8,0.0,0.0,all,0.4887981712818146,0.7756849315068493,0.7542213883677298,0.7217675941080196,0.8273921200750469,0.7709790209790209,adam,0.0
e9_mlp32_bigrams,"MLP chica con unigramas, bigramas y normalizacion L2.",314,10000,2,True,"(32,)",320065,0.001,32,12,8,0.0,0.0,all,0.4543443024158478,0.7744107744107743,0.7636022514071295,0.750445632798574,0.7898686679174484,0.7696526508226691,adam,0.0
e9_mlp32_bigrams,"MLP chica con unigramas, bigramas y normalizacion L2.",420,10000,2,True,"(32,)",320065,0.001,32,12,8,0.0,0.0,all,0.4437887966632843,0.7747298420615129,0.7626641651031895,0.7517985611510791,0.7842401500938087,0.7676767676767676,adam,0.0
sgd_no_momentum,SGD sin momentum.,7,5000,1,False,"(32,)",160065,0.01,32,20,19,0.0,0.0,all,0.4975375533103943,0.7602627257799672,0.725140712945591,0.6759530791788856,0.8649155722326454,0.7588477366255144,sgd,0.0
sgd_no_momentum,SGD sin momentum.,21,5000,1,False,"(32,)",160065,0.01,32,20,20,0.0,0.0,all,0.4609977900981903,0.7640845070422536,0.7476547842401501,0.726027397260274,0.7954971857410882,0.7591763652641003,sgd,0.0
sgd_no_momentum,SGD sin momentum.,42,5000,1,False,"(32,)",160065,0.01,32,20,20,0.0,0.0,all,0.28660476207733154,0.7510766580534022,0.7335834896810507,0.7588357588357588,0.6848030018761726,0.7199211045364892,sgd,0.0
sgd_no_momentum,SGD sin momentum.,84,5000,1,False,"(32,)",160065,0.01,32,20,11,0.0,0.0,all,0.3843604028224945,0.7438423645320197,0.724202626641651,0.732943469785575,0.7054409005628518,0.7189292543021033,sgd,0.0
sgd_no_momentum,SGD sin momentum.,126,5000,1,False,"(32,)",160065,0.01,32,20,6,0.0,0.0,all,0.3915141820907593,0.6700443318556047,0.550656660412758,0.5386819484240688,0.7054409005628518,0.6108854589764419,sgd,0.0
sgd_no_momentum,SGD sin momentum.,168,5000,1,False,"(32,)",160065,0.01,32,20,20,0.0,0.0,all,0.18025514483451843,0.7528455284552845,0.7307692307692307,0.7709251101321586,0.6566604127579737,0.7092198581560284,sgd,0.0
sgd_no_momentum,SGD sin momentum.,210,5000,1,False,"(32,)",160065,0.01,32,20,18,0.0,0.0,all,0.4344240725040436,0.757201646090535,0.7317073170731707,0.6976,0.8180112570356473,0.7530224525043178,sgd,0.0
sgd_no_momentum,SGD sin momentum.,252,5000,1,False,"(32,)",160065,0.01,32,20,18,0.0,0.0,all,0.25856900215148926,0.7467532467532467,0.7307692307692307,0.7392996108949417,0.7129455909943715,0.725883476599809,sgd,0.0
